ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
309573,Laborer Renewables,T,55085,06/08/23,06/08/23,126,10/12/23,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,572
309604,Truck Driver Renewables,A,55105,06/13/2023,11/07/23,478,Unknown,Unknown,0,0,1,NoEvent,NoEvent,420,NoEvent,NoEvent,567
309606,Laborer Renewables,T,55085,06/06/23,06/06/23,106,09/20/2023,Excessive Absenteeism,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,574
309613,Operator Renewables,T,55085,06/06/23,06/06/23,133,10/17/2023,Other Job,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,574
309616,Laborer Renewables,T,55089,06/06/23,06/06/23,374,06/14/2024,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,456,NoEvent,574
309616,Laborer Renewables,T,55089,06/06/23,06/06/23,374,06/14/2024,Resignation,1,0,1,NoEvent,NoEvent,NoEvent,294,NoEvent,574
309628,Electrician Renewables,A,55109,06/06/23,06/06/23,632,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,497,NoEvent,574
309628,Electrician Renewables,A,55109,06/06/23,06/06/23,632,Unknown,Unknown,0,0,1,NoEvent,NoEvent,NoEvent,342,NoEvent,574
309634,Laborer Renewables,T,55105,06/06/23,06/06/23,526,11/13/2024,No Call-No Show,0,1,1,337,NoEvent,NoEvent,411,NoEvent,574
309634,Laborer Renewables,T,55105,06/06/23,06/06/23,526,11/13/2024,No Call-No Show,0,1,1,337,NoEvent,NoEvent,154,NoEvent,574
