EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
310673,Non-Exempt,4104,07/07/2023,New hire,18-40-1002,55311.0
322142,Non-Exempt,4104,06/04/2024,New hire,18-41-1002,55123.0
321587,Non-Exempt,4104,05/21/2024,New hire,18-41-1003,55103.0
301467,Non-Exempt,4104,10/18/2022,New hire,18-41-1002,55087.0
276706,Non-Exempt,4104,03/28/2023,New hire,18-5-5030,55109.0
302975,Non-Exempt,4104,11/29/2022,New hire,18-40-1002,55087.0
306931,Non-Exempt,4104,04/06/2023,New hire,18-41-1002,55094.0
306832,Non-Exempt,4104,04/05/2023,New hire,18-30-1003,55123.0
320199,Non-Exempt,4104,04/17/2024,New hire,18-8-1004,55094.0
310636,Non-Exempt,4104,07/06/2023,New hire,18-41-1002,55094.0
307011,Non-Exempt,4104,04/05/2023,New hire,18-40-1001,55086.0
315390,Non-Exempt,4104,10/23/2023,New hire,18-765-501,55303.0
307323,Non-Exempt,4104,04/11/2023,New hire,18-40-1001,55093.0
307946,Non-Exempt,4104,05/02/2023,New hire,18-40-1001,55093.0
310579,Non-Exempt,4104,07/06/2023,New hire,18-30-1001,55093.0
320592,Non-Exempt,4104,04/30/2024,New hire,18-47-601,55109.0
310079,Non-Exempt,4104,06/20/2023,New hire,18-41-1002,55093.0
328244,Non-Exempt,4104,10/02/2024,New hire,18-5-5060,55099.0
301459,Non-Exempt,4104,10/18/2022,New hire,18-41-1002,55087.0
309124,Non-Exempt,4104,05/22/2023,New hire,18-41-1003,55085.0
318113,Non-Exempt,4104,02/22/2024,New hire,18-198-400,55107.0
312235,Non-Exempt,4104,08/10/2023,New hire,18-8-1005,55089.0
320618,Non-Exempt,4104,04/23/2024,New hire,18-745-100,55117.0
322316,Non-Exempt,4104,06/11/2024,New hire,18-41-1003,55101.0
322306,Non-Exempt,4104,06/11/2024,New hire,18-41-1003,55096.0
324555,Non-Exempt,4104,07/23/2024,New hire,18-41-1001,55100.0
